employee_id,name,gender,age,department,designation,joining_date,salary,bonus,projects_assigned,performance_score,training_completed,promotion_eligible,leaves_taken,remote_work_days,skills
168.0,Ian Clark,female,22 years,hr;HR,Sr Analyst,20-May-2019,,0.17,"Project Y, Project Z",,N/A,Yes,16,2,
193.0,emily davis,female,35,IT;IT,Manager,15-Jan-2020,64922,0.16,Project A,3.1,Yes,,,4 days,R;PowerBI
131.0,Grace Lee,female,54 years,Operations;IT,Intern,20-May-2019,,18%,"Project X, Project D",,No,Yes,,,"python, excel"
120.0,Grace Lee,f,48 years,HR,Jr Analyst,20-May-2019,105319,,"Project C, Project Z",3.1,,,,5,
159.0, grace lee ,female,,,Intern,2019-05-20,,,"Project B, Project D",3.8,N/A,Yes,,4 days,R;PowerBI
148.0,charlie brown,M,,Finance;IT,Intern,15-Jan-2020,,15%,"Project Y, Project D",2.4,Y,Pending,16,4 days,Excel;Python
134.0,Hannah Martin,,31,Operations;HR,Jr Analyst,20-May-2019,82941,6%,Project Y,5.0,,,19,0,"SQL, Tableau"
181.0,GRACE LEE,M,,,Sr Analyst,2020-01-15,100795,19%,"Project A, Project Z",,Y,No,,2,"SQL, Tableau"
188.0,Bob Johnson,,,hr;HR,Sr Analyst,01/15/2020,,,"Project X, Project D",4.8,N/A,,,,"python, excel"
171.0,alice smith,F,,Sales;HR,Jr Analyst,05/20/2019,93185,14%,Project A,,Y,Yes,,,
128.0,David Miller,M,,Finance,Intern,01/15/2020,,,Project B,2.4,N/A,Yes,,,"SQL, Tableau"
187.0, HANNAH MARTIN ,female,49,hr,Manager,05/20/2019,,,Project C,2.2,N/A,Pending,,4 days,R;PowerBI
141.0,Ian Clark,female,27 years,hr,senior analyst,2020-01-15,82509,0.17,"Project B, Project Z",,N/A,Pending,,5,
198.0,emily davis,,,Operations,Manager,01/15/2020,112873,,Project A,2.0,N/A,Yes,5,1,R;PowerBI
199.0, Alice Smith ,male,25 years,IT,manager,2019-05-20,,,Project C,1.2,N/A,,,2,"SQL, Tableau"
107.0, charlie brown ,f,33,hr,Intern,2020-01-15,,15%,"Project A, Project D",1.5,Yes,No,,,R;PowerBI
129.0,David Miller,M,30,finance;Finance,Sr Analyst,2019-05-20,68005,7%,Project B,2.5,,Pending,6,,Excel;Python
104.0,Charlie Brown,f,,Sales,Jr Analyst,15-Jan-2020,53149,,"Project A, Project D",,Yes,Pending,,0 days,"SQL, Tableau"
140.0,Charlie Brown,M,55,finance;Finance,Manager,01/15/2020,80353,12%,"Project C, Project D",2.5,N/A,Pending,5,,R;PowerBI
151.0,Bob Johnson,F,,IT,manager,2019-05-20,,0.19,"Project Y, Project Z",3.7,Yes,,,1 days,
134.0,John Doe,F,39,hr,manager,01/15/2020,,11%,"Project X, Project D",2.9,No,No,11,3 days,"SQL, Tableau"
108.0,John Doe,,49 years,,Sr Analyst,15-Jan-2020,93766,0.11,"Project A, Project D",,,No,,1 days,"python, excel"
127.0,Charlie Brown,f,26 years,Operations,senior analyst,20-May-2019,,0.07,"Project A, Project Z",1.6,Y,No,10,1 days,
172.0, Grace Lee ,female,26 years,Finance;HR,senior analyst,01/15/2020,54833,10%,"Project A, Project Z",,No,No,,0,"SQL, Tableau"
,IAN CLARK,male,54 years,Finance,manager,15-Jan-2020,34679,0.16,"Project B, Project Z",1.6,,Yes,16,,R;PowerBI
140.0,ALICE SMITH,M,,IT,Manager,2020-01-15,33324,0.17,"Project Y, Project D",2.9,,No,,1,
127.0,grace lee,M,32,Sales;HR,manager,01/15/2020,,8%,"Project B, Project Z",,Y,Yes,,3 days,"SQL, Tableau"
183.0,FRANK WILSON,,,Finance,Intern,2020-01-15,,0.19,Project A,,No,Yes,,1 days,"SQL, Tableau"
163.0,Ian Clark,male,,HR,Sr Analyst,15-Jan-2020,,0.16,"Project Y, Project D",2.8,,No,12,4,R;PowerBI
150.0,Charlie Brown,f,54,HR,Sr Analyst,2020-01-15,32151,9%,"Project Y, Project Z",2.1,,,,,"python, excel"
182.0,frank wilson,f,22,finance,senior analyst,2019-05-20,74470,0.2,"Project B, Project Z",1.2,,Pending,20,5,R;PowerBI
158.0,Grace Lee,,45 years,Sales,manager,20-May-2019,74265,0.11,"Project X, Project D",3.4,Y,Yes,18,1,"SQL, Tableau"
118.0,Frank Wilson,M,31,Operations,Jr Analyst,2020-01-15,83150,0.05,Project Y,3.0,Yes,No,,,"SQL, Tableau"
133.0,charlie brown,F,57,,Jr Analyst,2019-05-20,,12%,"Project X, Project D",,N/A,Yes,15,5 days,R;PowerBI
117.0,bob johnson,male,37 years,IT,Manager,20-May-2019,118877,,Project Y,,No,Pending,15,3,"python, excel"
131.0,John Doe,M,42,Sales,Manager,15-Jan-2020,105936,0.06,"Project A, Project D",,N/A,Pending,,4 days,
195.0,Alice Smith,F,58,Operations;HR,Intern,15-Jan-2020,39441,,"Project C, Project Z",,Yes,Yes,0,,
171.0,Frank Wilson,f,54,Finance,senior analyst,01/15/2020,,,Project B,,N/A,Pending,5,0,
168.0,Charlie Brown,F,36,HR,Sr Analyst,2019-05-20,115699,,"Project A, Project Z",,,Yes,,3 days,Excel;Python
133.0,BOB JOHNSON,,26 years,IT,Jr Analyst,05/20/2019,91763,,"Project C, Project Z",,N/A,No,3,0 days,Excel;Python
195.0, Hannah Martin ,female,41 years,IT,Intern,20-May-2019,61808,6%,Project B,4.9,Yes,Pending,14,2,Excel;Python
174.0,Grace Lee,M,57 years,IT,Jr Analyst,01/15/2020,31882,,Project B,,Yes,Yes,10,5 days,Excel;Python
154.0,John Doe,male,22,IT,Jr Analyst,01/15/2020,112924,,Project Y,3.5,Yes,Yes,,1,Excel;Python
174.0,hannah martin,F,58 years,,Intern,15-Jan-2020,70283,0.1,Project X,2.6,Y,,6,5 days,Excel;Python
151.0,CHARLIE BROWN,f,51 years,HR;Finance,Jr Analyst,2020-01-15,89793,,"Project C, Project Z",,Yes,Yes,,0 days,Excel;Python
146.0,ALICE SMITH,F,59,Sales;Finance,senior analyst,20-May-2019,107469,0.14,Project A,,Y,Yes,,5 days,"python, excel"
128.0,Grace Lee,f,56,Sales;IT,manager,05/20/2019,43937,0.13,Project X,4.3,,No,16,0,Excel;Python
117.0,bob johnson,female,22,hr,Jr Analyst,15-Jan-2020,95161,0.07,Project C,,Yes,No,,1,"python, excel"
165.0, GRACE LEE ,,56 years,,Sr Analyst,15-Jan-2020,38271,18%,Project B,3.6,Y,Pending,1,1,"python, excel"
163.0,Hannah Martin,f,22,HR,Intern,05/20/2019,,15%,"Project C, Project D",2.1,,Pending,6,5 days,"SQL, Tableau"
111.0,Hannah Martin,male,46,hr;HR,Jr Analyst,2020-01-15,,0.18,"Project Y, Project D",,N/A,,8,,"SQL, Tableau"
196.0,IAN CLARK,female,35,Operations,Manager,2019-05-20,72498,0.19,Project B,,Y,Yes,,,"SQL, Tableau"
106.0, Emily Davis ,,48,Operations,Sr Analyst,2019-05-20,119664,0.14,Project X,1.7,Yes,,,,"python, excel"
114.0,grace lee,F,31,IT,manager,05/20/2019,72151,15%,"Project B, Project D",1.3,Yes,Pending,19,1 days,Excel;Python
119.0, ian clark ,,,finance,Jr Analyst,20-May-2019,35975,0.16,Project A,,,No,,,"python, excel"
180.0,Hannah Martin,,45 years,Finance,senior analyst,2020-01-15,73975,,Project A,1.8,,Yes,5,,
120.0, Frank Wilson ,M,27,finance,senior analyst,2020-01-15,,19%,Project A,3.6,Yes,Pending,,1,"python, excel"
187.0, Hannah Martin ,f,,Sales,Jr Analyst,01/15/2020,,6%,Project B,2.0,No,Pending,,0 days,
154.0,GRACE LEE,,,hr,Manager,2020-01-15,,,"Project B, Project D",4.9,,Pending,,2 days,R;PowerBI
176.0, bob johnson ,male,25 years,hr,Intern,05/20/2019,102536,0.12,Project B,,No,,14,2 days,R;PowerBI
108.0,Grace Lee,M,37 years,,senior analyst,20-May-2019,87496,,Project X,,,Pending,,4,"python, excel"
149.0,grace lee,M,42 years,HR,Sr Analyst,2020-01-15,106282,20%,"Project C, Project D",,N/A,,2,0,"SQL, Tableau"
148.0,David Miller,female,42 years,IT,Intern,01/15/2020,47481,9%,"Project B, Project D",,No,Pending,2,,"python, excel"
176.0,Charlie Brown,F,39,Sales;HR,Manager,2019-05-20,,11%,"Project C, Project Z",,No,Yes,2,1,"python, excel"
159.0,DAVID MILLER,M,,Operations;IT,manager,2020-01-15,50677,0.16,"Project B, Project Z",,No,No,10,,Excel;Python
167.0,Hannah Martin,male,28,IT,Intern,2020-01-15,93827,11%,Project A,,Y,Pending,5,5,
132.0, Grace Lee ,f,50 years,Finance,manager,20-May-2019,30832,10%,"Project C, Project D",4.9,Y,Yes,,1,"SQL, Tableau"
170.0, charlie brown ,f,42,finance,Intern,05/20/2019,53516,,"Project X, Project Z",2.3,Yes,Pending,14,2,"SQL, Tableau"
101.0,DAVID MILLER,f,56,Finance,Intern,05/20/2019,,8%,Project B,3.0,N/A,No,,3,"SQL, Tableau"
187.0,Grace Lee,female,41 years,,senior analyst,01/15/2020,,,"Project X, Project Z",,,Yes,20,3 days,R;PowerBI
192.0,Alice Smith,male,38,IT,Manager,2020-01-15,46632,,Project X,2.9,No,Yes,,4,Excel;Python
114.0,david miller,M,,finance;IT,senior analyst,20-May-2019,,8%,Project C,2.2,Yes,No,,4,
187.0,charlie brown,,60,IT,manager,01/15/2020,,,Project B,3.7,Yes,Pending,9,3 days,
168.0, DAVID MILLER ,male,42,IT;HR,senior analyst,05/20/2019,84005,0.12,"Project B, Project Z",4.5,Yes,Pending,8,1 days,R;PowerBI
196.0,emily davis,female,44 years,HR,Manager,15-Jan-2020,52878,5%,"Project C, Project Z",4.8,No,No,,4 days,"SQL, Tableau"
134.0,emily davis,female,,IT;Finance,Jr Analyst,01/15/2020,108154,,Project Y,4.5,,,13,,
198.0,HANNAH MARTIN,F,41,IT,manager,15-Jan-2020,95521,9%,"Project A, Project Z",4.1,Yes,Yes,,3 days,
182.0,Alice Smith,male,47 years,finance,Jr Analyst,15-Jan-2020,,14%,"Project B, Project D",,,No,6,5,R;PowerBI
143.0,BOB JOHNSON,f,57,HR,Manager,01/15/2020,,,"Project A, Project Z",2.8,Yes,,,,"python, excel"
114.0,bob johnson,female,28,Operations,manager,01/15/2020,30599,0.06,"Project X, Project Z",,No,Yes,,1,"SQL, Tableau"
137.0,charlie brown,female,30,Sales,senior analyst,20-May-2019,55153,0.09,Project X,,No,Yes,,,Excel;Python
155.0,FRANK WILSON,F,25,,senior analyst,01/15/2020,99494,7%,"Project C, Project Z",,Yes,No,,5 days,"SQL, Tableau"
120.0, BOB JOHNSON ,,47 years,IT;Finance,Intern,2019-05-20,,0.11,"Project Y, Project D",2.0,N/A,,,2,R;PowerBI
158.0,CHARLIE BROWN,f,,IT,senior analyst,05/20/2019,100742,,"Project A, Project D",,Yes,Yes,20,1 days,Excel;Python
100.0,alice smith,,38,IT,manager,2020-01-15,90845,0.07,Project B,1.4,,Yes,,,Excel;Python
192.0,FRANK WILSON,female,,Operations;HR,manager,01/15/2020,66231,0.16,Project C,,N/A,,4,,"SQL, Tableau"
192.0,frank wilson,M,50,hr,Intern,15-Jan-2020,55391,9%,Project C,3.2,N/A,,,,R;PowerBI
133.0,emily davis,f,43,Finance;Finance,senior analyst,15-Jan-2020,,0.13,Project X,,Yes,Pending,,,R;PowerBI
164.0,HANNAH MARTIN,male,51,IT;IT,senior analyst,01/15/2020,95210,0.18,Project C,,Yes,Pending,,1 days,R;PowerBI
197.0,Grace Lee,F,,finance,Jr Analyst,2020-01-15,50940,0.13,Project X,,Y,No,,,R;PowerBI
122.0,Frank Wilson,,47,Finance;HR,Intern,2020-01-15,,0.16,"Project B, Project D",,N/A,Pending,2,,"SQL, Tableau"
164.0,John Doe,M,46,HR,Intern,20-May-2019,67363,0.12,Project C,1.4,N/A,No,8,5 days,Excel;Python
113.0,CHARLIE BROWN,M,44,Finance;HR,manager,20-May-2019,,0.06,Project A,,No,Pending,,5,
180.0,Frank Wilson,male,39 years,IT,senior analyst,20-May-2019,,,"Project B, Project Z",,No,No,1,1,"python, excel"
138.0,FRANK WILSON,F,,HR,Manager,2020-01-15,35677,,"Project B, Project D",,,Pending,16,5,R;PowerBI
181.0,Ian Clark,female,40 years,finance,senior analyst,15-Jan-2020,36875,0.09,"Project A, Project D",3.6,Y,No,15,3 days,
164.0, John Doe ,,57 years,hr,Intern,20-May-2019,50715,0.19,"Project X, Project D",,,,,4 days,
177.0,ian clark,,27 years,finance;Finance,manager,01/15/2020,93577,14%,Project Y,,N/A,Pending,,3,"SQL, Tableau"
125.0,Frank Wilson,F,30 years,finance,senior analyst,20-May-2019,39287,,"Project X, Project Z",2.6,,Yes,18,4 days,R;PowerBI
119.0,Grace Lee,,34,Finance,Jr Analyst,01/15/2020,,18%,Project C,,Yes,No,10,1 days,Excel;Python
147.0,john doe,female,23 years,Operations,Sr Analyst,01/15/2020,84927,,Project Y,,N/A,,,,R;PowerBI
197.0,EMILY DAVIS,male,,Sales,manager,15-Jan-2020,,0.13,Project X,,No,,0,,
120.0,david miller,male,,Finance;HR,manager,05/20/2019,60154,,Project X,4.5,Yes,Pending,,,"python, excel"
169.0,FRANK WILSON,M,42 years,finance;IT,Intern,01/15/2020,72746,,"Project A, Project Z",3.5,No,Yes,,2,"python, excel"
199.0,Frank Wilson,M,39,HR,Sr Analyst,20-May-2019,42853,7%,"Project B, Project D",4.0,No,Pending,20,2 days,Excel;Python
167.0,Hannah Martin,M,42,Finance,senior analyst,15-Jan-2020,84079,0.16,Project X,3.8,No,Yes,,,"python, excel"
100.0,Hannah Martin,male,23,finance,Jr Analyst,15-Jan-2020,79221,0.17,Project A,1.6,No,Pending,9,5 days,Excel;Python
176.0,ian clark,female,55 years,hr,senior analyst,2020-01-15,,,"Project X, Project D",2.2,,,14,4,"SQL, Tableau"
141.0,Charlie Brown,male,59,Finance;HR,Intern,01/15/2020,,,Project X,3.3,,No,,,"SQL, Tableau"
162.0,Grace Lee,male,,Operations;HR,Sr Analyst,20-May-2019,,0.16,Project C,,No,,,0,
102.0,charlie brown,M,,finance,Jr Analyst,01/15/2020,48997,13%,"Project B, Project D",,N/A,,,1 days,"python, excel"
114.0,david miller,F,,Operations,Manager,20-May-2019,,,"Project B, Project D",,N/A,No,,,R;PowerBI
146.0,Frank Wilson,M,46,finance,Manager,2019-05-20,,13%,Project Y,1.4,Y,No,,5,"SQL, Tableau"
139.0,grace lee,F,,finance,Jr Analyst,2020-01-15,78953,18%,Project X,,Y,No,,2 days,Excel;Python
130.0, John Doe ,female,,;HR,Manager,15-Jan-2020,89996,17%,"Project B, Project D",4.1,Yes,,,3,"SQL, Tableau"
107.0,frank wilson,female,,;Finance,Intern,2020-01-15,,0.12,Project B,2.6,,No,9,1 days,"python, excel"
130.0,emily davis,f,,hr,Intern,2019-05-20,65349,,"Project B, Project Z",,N/A,Pending,7,4,"python, excel"
172.0,frank wilson,f,,finance,Intern,05/20/2019,74025,,Project X,,Y,Pending,,5,Excel;Python
110.0,BOB JOHNSON,f,33 years,Finance,Jr Analyst,2020-01-15,34206,17%,"Project Y, Project D",,Y,Pending,,,"python, excel"
110.0,Grace Lee,female,24,,senior analyst,2020-01-15,66779,9%,"Project A, Project Z",1.2,N/A,Pending,18,,
193.0,Bob Johnson,M,36,IT;HR,senior analyst,2019-05-20,,,"Project A, Project Z",4.8,N/A,Yes,5,,R;PowerBI
